// Sigle credit categorie parcours
NF15 6 CS GM
NF16 6 CS GM
SM06 6 CS GM
CS22 6 TM GM
GP06 6 TM GM
LO02 6 TM GM
LO15 6 TM GM
MQ08 6 TM GM
MQ21 6 TM GM
IF02 6 CS GM
LO13 6 CS GM
MQ13 6 CS GM
CS21 6 TM GM
EA04 6 TM GM
IF24 6 TM GM
MQ05 6 TM GM
MQ09 6 TM GM
NF18 6 TM GM
SM02 6 TM GM
TN16 6 TM GM
TN78 6 TM GM
// FORMATION MATERIAUX TECH
MA02 6 CS MTE
MA03 6 CS MTE
MA11 6 CS MTE
CS03 6 TM MTE
DS01 6 TM MTE
OB01 6 TM MTE
MA04 6 CS MTE
MA12 6 CS MTE
MA13 6 CS MTE
MA14 6 CS MTE
CS03 6 CS MTE
MA20 6 CS MTE
MA21 6 CS MTE
PR15 6 CS MTE
NM01 6 CS MTE
OP01 6 CS MTE
CL01 6 TM MTE
EV12 6 TM MTE
GP06 6 TM MTE
MQ21 6 TM MTE
NR01 6 TM MTE
TN14 6 TM MTE
TN19 6 TM MTE
CS05 6 TM MTE
EV10 6 TM MTE
EV11 6 TM MTE
GE40 6 TM MTE
ME10 6 TM MTE
MQ05 6 TM MTE
TN78 6 TM MTE
// FORMATION RT
IF01 6 CS RT
MT12 6 CS RT
NF16 6 CS RT
SY04 6 CS RT
SY06 6 CS RT
LO02 6 TM RT
RE01 6 TM RT
RE02 6 CS RT
RE04 6 CS RT
SY16 6 CS RT
IF03 6 TM RT
CS03 6 TM RT
LO11 6 TM RT
LO14 6 TM RT
PR15 6 TM RT
GS15 6 CS RT
RE15 6 CS RT
SY26 6 CS RT
GS11 6 TM RT
RE06 6 TM RT
RE13 6 TM RT
RE16 6 TM RT
SY23 6 TM RT
SY25 6 TM RT
IF23 6 CS RT
RE23 6 CS RT
SY24 6 CS RT
IF27 6 TM RT
RE12 6 TM RT
RE14 6 TM RT
RE20 6 TM RT
RE21 6 TM RT
SY22 6 TM RT
// MASTER MENTION MÉCANIQUE & PHYSIQUE SPÉCIALITÉ IAMC
MASIG0701 6 CS Master 
CPROG0702 6 CS Master
MBAM0801 6 CS Master
CMMIN0704 4 CS Master
EAGRO0705 2 CS Master
VTECH0707 2 TM Master
ANG0706 4 EC Master
STAGE0708 2 ME Master
CMORG0801 6 CS Master
PROCD0802 6 CS Master
CARAC0803 6 CS Master
GPROJ0805 4 TM Master
LACOM0804 4 EC Master
GINOV0806 4 ME Masteŕ
IAM01 6 CS Master
IAM02 4 CS Master
TMA3 6 CS Master
EV12 6 TM Master
TN19 6 TM Master
NR01 6 TM Master
// MENTION MÉCANIQUE & PHYSIQUE SPÉCIALITÉ MERI
MA11 6 CS Master
MT12 6 CS Master
CS03 6 TM Master
MQ08 6 TM Master
TS02 6 TM Master
GE21 6 ME Masteŕ
FQ04 6 CS Master
ME05 4 CS Master
IR30 6 TM Master
MA20 6 TM Master
MQ06 6 TM Master
TS01 6 TM Master
MRI2 4 CS Master
MRI3 4 CS Master
MRI4 4 CS Master
MRI5 6 TM Master
MRI6 6 TM Master
MRI7 2 TM Master
MRI8 4 ME Master
MRI9 2 EC Master
// MENTION MÉCANIQUE & PHYSIQUE SPÉCIALITÉ ONT
MA11 6 CS Master
MT11 6 CS Master
MA03 6 CS Master
MA02 6 CS Master
CS03 6 TM Master
GE21 6 ME Master
IR30 6 TM Master
MA20 6 TM Master
MA15 6 TM Master
MA14 6 CS Master
ME05 4 CS Master
MA21 6 TM Master
MO12 4 CS Master
MO13 4 CS Master
NT01 4 CS Master
NM01 6 CS Master
OP01 6 CS Master
MO23 4 CS Master
// MENTION SCIENCES ET TECHNOLOGIES DE L’INFORMATION ET DE LA COMMUNICATION SPÉCIALITÉ OSS
IF01 6 CS Master
MT12 6 CS Master
SY02 6 CS Master
SY14 6 CS Master
IF14 6 TM Master
IR30 6 TM Master
SY05 6 CS Master
DI02 6 TM Master
FQ04 6 CS Master
CL03 6 TM Master
GP17 6 TM MasteR
OS 4 CS Master
UX 10 Etranger Etranger
